dept,grade,annual_salary,hourly_rate,grade_label
Submarine Delivery Agency6,scs,NA,NA,SCS
Submarine Delivery Agency6,g6g7,NA,NA,Grade 6/Grade 7
Submarine Delivery Agency6,seoheo,NA,NA,SEO/HEO
Submarine Delivery Agency6,eo,NA,NA,EO
Submarine Delivery Agency6,aoaa,NA,NA,AO/AA
Submarine Delivery Agency6,total,38980,23.84,Unknown
UK Hydrographic Office,scs,NA,NA,SCS
UK Hydrographic Office,g6g7,52240,31.94,Grade 6/Grade 7
UK Hydrographic Office,seoheo,33340,20.39,SEO/HEO
UK Hydrographic Office,eo,26000,15.9,EO
UK Hydrographic Office,aoaa,19360,11.84,AO/AA
UK Hydrographic Office,total,32370,19.79,Unknown
Department for International Trade,scs,77120,47.16,SCS
Department for International Trade,g6g7,52330,32,Grade 6/Grade 7
Department for International Trade,seoheo,34860,21.32,SEO/HEO
Department for International Trade,eo,25730,15.73,EO
Department for International Trade,aoaa,24410,14.93,AO/AA
Department for International Trade,total,39900,24.4,Unknown
Department for Education,scs,73860,45.16,SCS
Department for Education,g6g7,53480,32.7,Grade 6/Grade 7
Department for Education,seoheo,36070,22.06,SEO/HEO
Department for Education,eo,24560,15.02,EO
Department for Education,aoaa,19890,12.16,AO/AA
Department for Education,total,39790,24.33,Unknown
Education and Skills Funding Agency,scs,77160,47.18,SCS
Education and Skills Funding Agency,g6g7,52270,31.96,Grade 6/Grade 7
Education and Skills Funding Agency,seoheo,36070,22.06,SEO/HEO
Education and Skills Funding Agency,eo,24200,14.8,EO
Education and Skills Funding Agency,aoaa,19850,12.14,AO/AA
Education and Skills Funding Agency,total,36390,22.25,Unknown
Institute for Apprenticeships and Technical Education,scs,83510,51.06,SCS
Institute for Apprenticeships and Technical Education,g6g7,53170,32.51,Grade 6/Grade 7
Institute for Apprenticeships and Technical Education,seoheo,36030,22.03,SEO/HEO
Institute for Apprenticeships and Technical Education,eo,25830,15.79,EO
Institute for Apprenticeships and Technical Education,aoaa,NA,NA,AO/AA
Institute for Apprenticeships and Technical Education,total,49720,30.4,Unknown
Standards and Testing Agency,scs,73880,45.18,SCS
Standards and Testing Agency,g6g7,53230,32.55,Grade 6/Grade 7
Standards and Testing Agency,seoheo,36240,22.16,SEO/HEO
Standards and Testing Agency,eo,24240,14.82,EO
Standards and Testing Agency,aoaa,NA,NA,AO/AA
Standards and Testing Agency,total,36710,22.45,Unknown
Teaching Regulation Agency,scs,NA,NA,SCS
Teaching Regulation Agency,g6g7,49650,30.36,Grade 6/Grade 7
Teaching Regulation Agency,seoheo,29480,18.03,SEO/HEO
Teaching Regulation Agency,eo,23780,14.54,EO
Teaching Regulation Agency,aoaa,19890,12.16,AO/AA
Teaching Regulation Agency,total,29010,17.74,Unknown
"Department for Environment, Food and Rural Affairs (excl. agencies)",scs,76180,46.58,SCS
"Department for Environment, Food and Rural Affairs (excl. agencies)",g6g7,52540,32.13,Grade 6/Grade 7
"Department for Environment, Food and Rural Affairs (excl. agencies)",seoheo,35540,21.73,SEO/HEO
"Department for Environment, Food and Rural Affairs (excl. agencies)",eo,27420,16.77,EO
"Department for Environment, Food and Rural Affairs (excl. agencies)",aoaa,23660,14.47,AO/AA
"Department for Environment, Food and Rural Affairs (excl. agencies)",total,36930,22.58,Unknown
Animal and Plant Health Agency,scs,80590,49.28,SCS
Animal and Plant Health Agency,g6g7,53990,33.01,Grade 6/Grade 7
Animal and Plant Health Agency,seoheo,36070,22.06,SEO/HEO
Animal and Plant Health Agency,eo,26120,15.97,EO
Animal and Plant Health Agency,aoaa,20430,12.49,AO/AA
Animal and Plant Health Agency,total,27420,16.77,Unknown
"Centre for Environment, Fisheries and Aquaculture Science",scs,NA,NA,SCS
"Centre for Environment, Fisheries and Aquaculture Science",g6g7,47250,28.89,Grade 6/Grade 7
"Centre for Environment, Fisheries and Aquaculture Science",seoheo,29700,18.16,SEO/HEO
"Centre for Environment, Fisheries and Aquaculture Science",eo,23650,14.46,EO
"Centre for Environment, Fisheries and Aquaculture Science",aoaa,19420,11.87,AO/AA
"Centre for Environment, Fisheries and Aquaculture Science",total,29240,17.88,Unknown
Rural Payments Agency,scs,73850,45.16,SCS
Rural Payments Agency,g6g7,48670,29.76,Grade 6/Grade 7
Rural Payments Agency,seoheo,30920,18.91,SEO/HEO
Rural Payments Agency,eo,24550,15.01,EO
Rural Payments Agency,aoaa,20430,12.49,AO/AA
Rural Payments Agency,total,24430,14.94,Unknown
Veterinary Medicines Directorate,scs,NA,NA,SCS
Veterinary Medicines Directorate,g6g7,55170,33.73,Grade 6/Grade 7
Veterinary Medicines Directorate,seoheo,38370,23.46,SEO/HEO
Veterinary Medicines Directorate,eo,27740,16.96,EO
Veterinary Medicines Directorate,aoaa,23660,14.47,AO/AA
Veterinary Medicines Directorate,total,38370,23.46,Unknown
ESTYN,scs,NA,NA,SCS
ESTYN,g6g7,73360,44.86,Grade 6/Grade 7
ESTYN,seoheo,36500,22.32,SEO/HEO
ESTYN,eo,28150,17.21,EO
ESTYN,aoaa,23250,14.22,AO/AA
ESTYN,total,72910,44.58,Unknown
Food Standards Agency,scs,83050,50.78,SCS
Food Standards Agency,g6g7,53380,32.64,Grade 6/Grade 7
Food Standards Agency,seoheo,35540,21.73,SEO/HEO
Food Standards Agency,eo,26270,16.06,EO
Food Standards Agency,aoaa,20980,12.83,AO/AA
Food Standards Agency,total,31500,19.26,Unknown
Foreign and Commonwealth Office (excl. agencies),scs,76270,46.64,SCS
Foreign and Commonwealth Office (excl. agencies),g6g7,58400,35.71,Grade 6/Grade 7
Foreign and Commonwealth Office (excl. agencies),seoheo,35800,21.89,SEO/HEO
